NDP "ZC (M$/year)" "ZE (ton CO2-eq/year)"
Sol_114 177.85033846821082 399.3145184725439
Sol_115 177.86375225890188 397.62350354107446
Sol_116 177.86992304161515 396.8455813304743
Sol_117 177.88561498294803 394.8673704198716
Sol_118 177.8917857656613 394.0894482092714
Sol_119 177.9051964357624 392.3988266762353
Sol_120 177.9051964357624 392.3988266762353
Sol_121 177.92201250329524 390.2789023430293
Sol_122 177.92644064898448 389.72066637142876
Sol_123 177.94294098137627 387.64054531607655
Sol_124 177.94799075847956 387.0039431296463
Sol_125 177.96140148478565 385.31331451110526
Sol_126 177.97821749611347 383.1933972634042
Sol_127 177.97821749611347 383.1933972634042
Sol_128 177.98438827882674 382.415475052804
Sol_129 178.0035664926256 379.99776579823106
Sol_130 178.0035664926256 379.99776579823106
Sol_131 178.03884300736283 375.5506177455587
Sol_132 178.040593271645 375.329969973179
Sol_133 178.05977148544386 372.91226071860603
Sol_134 178.05977148544386 372.91226071860603
Sol_135 178.09504800018107 368.4651126659337
Sol_136 178.10121878289436 367.6871904553335
Sol_137 178.11803172983718 365.5676595205608
Sol_138 178.11803172983718 365.5676595205608
Sol_139 178.13144552052827 363.87664458909137
Sol_140 178.13144552052827 363.87664458909137
Sol_141 178.1523739986093 361.2382875621387
Sol_142 178.15742377571263 360.6016853757084
Sol_143 178.17423672265545 358.48215444093574
Sol_144 178.17423672265545 358.48215444093574
Sol_145 178.1876505133465 356.79113950946635
Sol_146 178.1938212960598 356.01321729886615
Sol_147 178.21063424300263 353.89368636409347
Sol_148 178.21063424300263 353.89368636409347
Sol_149 178.25002628887808 348.92771221924113
Sol_150 178.2668364768706 346.8085290926497
Sol_151 178.32746474707022 339.16540176662295
Sol_152 178.32746474707022 339.16540176662295
Sol_153 178.3836697398885 332.0798966869978
Sol_154 178.3836697398885 332.0798966869978
Sol_155 178.42006726023567 327.4914286101556
Sol_156 178.42006726023567 327.4914286101556
Sol_157 178.47627225305393 320.4059235305305
Sol_158 178.47627225305393 320.4059235305305
Sol_159 178.47627225305393 320.4059235305305
Sol_160 179.97168384752757 319.648353805036
Sol_161 179.97168384752757 319.648353805036
Sol_162 180.94009023294015 319.1577628785812
Sol_163 180.94009023294015 319.1577628785812
Sol_164 180.94009023294015 319.1577628785812
Sol_165 181.71140123200834 318.981864581496
Sol_166 181.71140123200834 318.981864581496
Sol_167 181.93136536355706 316.57351197802893
Sol_168 181.93136536355706 316.57351197802893
Sol_169 181.93136536355706 316.57351197802893
Sol_170 183.62675019950314 315.9765828193491
Sol_171 183.62675019950314 315.9765828193491
Sol_172 183.67108274803786 315.90702275448893
Sol_173 183.67108274803786 315.90702275448893
Sol_174 183.67108274803786 315.90702275448893
Sol_175 184.39518334344328 315.3253513260796
Sol_176 184.39518334344328 315.3253513260796
Sol_177 185.58643171550983 312.9017409929759
Sol_178 185.58643171550983 312.9017409929759
Sol_179 185.58643171550983 312.9017409929759
Sol_180 188.05024969539605 311.65358034102655
Sol_181 188.05024969539605 311.65358034102655
Sol_182 255.21215560785595 277.6296187682941
Sol_183 259.70971971636754 275.49033638167066
Sol_184 269.5287059954344 273.63264165690225
Sol_185 269.5287059954344 273.63264165690225
Sol_186 269.5287059954344 273.63264165690225
Sol_187 269.5287059954344 273.63264165690225
Sol_188 269.52870599591154 273.632641638433
